EFFECTIVEDATE,INDEXPRVALUE,INDEXTRVALUE,MARKETVALUE,PARAMOUNTOUTSTANDING,DAILYRETURN,YEARSTOMATURITY,DAYSTOMATURITY,COUPON,PRICE,YIELDTOMATURITY,YIELDTOWORST,MODIFIEDDURATION,EFFECTIVEDURATION,CONVEXITY,OASPREAD,OAYIELD
3/29/2017,113.1618979,163.2462845,1.70696E+12,1.65133E+12,0.002055106,11.087,NA,3.732,102.107,3.294015865,3.290509881,7.487037494,7.361054162,1.015837888,115.7003498,3.290730263
3/30/2017,112.9660709,162.9801587,1.70418E+12,1.65133E+12,-0.001630211,11.097,NA,3.732,101.928,3.311108787,3.307555695,7.482765444,7.356170191,1.015259647,115.0834316,3.307838912
3/31/2017,113.0979552,163.1863935,1.70633E+12,1.65133E+12,0.001265398,11.08,NA,3.732,102.048,3.285313907,3.281667954,7.473742139,7.345462217,1.012037626,115.0687263,3.28205365
4/3/2017,113.3689406,163.6106944,1.7078E+12,1.65356E+12,0.002600099,11.158,NA,3.737,102.314,3.263924569,3.260520975,7.529786287,7.39835041,1.022240635,116.6230755,3.26113256
4/4/2017,113.2923299,163.5165751,1.70682E+12,1.65356E+12,-0.000575264,11.164,NA,3.737,102.244,3.273191504,3.269906284,7.529412698,7.397781661,1.021232685,117.1419998,3.270320666
4/5/2017,113.2663259,163.495486,1.7066E+12,1.65356E+12,-0.000128972,11.156,NA,3.737,102.22,3.269746737,3.266420947,7.516489107,7.384027472,1.018241874,116.6967902,3.266935034
4/6/2017,113.3791472,163.6747822,1.70847E+12,1.65356E+12,0.001096643,11.146,NA,3.737,102.323,3.260599812,3.257256279,7.515519017,7.383746688,1.018356746,116.6613335,3.257720092
4/7/2017,113.1851545,163.4111762,1.70572E+12,1.65356E+12,-0.001610547,11.154,NA,3.737,102.146,3.292196529,3.28905724,7.514046506,7.385601198,1.020039751,116.1371839,3.289302163
4/10/2017,113.3237683,163.660629,1.70832E+12,1.65356E+12,0.001526535,11.146,NA,3.737,102.273,3.276529483,3.273239023,7.516241642,7.387330345,1.020265636,115.5913306,3.273564203
4/11/2017,113.8415986,164.4249154,1.7163E+12,1.65356E+12,0.004669946,11.153,NA,3.737,102.745,3.21701511,3.213209021,7.532173357,7.401612098,1.023766745,115.4157994,3.213879751
4/12/2017,113.8337319,164.4299963,1.71635E+12,1.65356E+12,3.09011E-05,11.177,NA,3.737,102.738,3.220005804,3.216068178,7.542724804,7.411242618,1.026407293,115.666025,3.216890611
4/13/2017,114.2598566,165.0619658,1.72295E+12,1.65356E+12,0.003843396,11.173,NA,3.737,103.126,3.166520772,3.162237863,7.552166974,7.417779162,1.027329364,116.271451,3.163266261
4/17/2017,114.0453496,164.817857,1.7204E+12,1.65356E+12,-0.001478892,11.178,NA,3.737,102.931,3.188643327,3.184577777,7.550233048,7.415262254,1.026207904,116.9054445,3.1854834
4/18/2017,114.5701698,165.5927679,1.72849E+12,1.65356E+12,0.00470162,11.16,NA,3.737,103.409,3.132937689,3.128406778,7.559836795,7.424480902,1.028770579,117.7363644,3.129588088
4/19/2017,114.3761455,165.32878,1.72573E+12,1.65356E+12,-0.0015942,11.192,NA,3.737,103.232,3.155983739,3.151531455,7.564191514,7.428848277,1.030927312,117.7915139,3.152676414
4/20/2017,114.0578962,164.885199,1.7211E+12,1.65356E+12,-0.002683024,11.178,NA,3.737,102.942,3.192454439,3.188319782,7.546161527,7.412905586,1.027432424,118.0146785,3.189272949
4/21/2017,114.0989032,164.9609228,1.72189E+12,1.65356E+12,0.000459252,11.161,NA,3.737,102.979,3.181214291,3.177053311,7.53581522,7.401650978,1.02442818,117.7371952,3.178085907
4/24/2017,113.8570249,164.660551,1.71876E+12,1.65356E+12,-0.001820866,11.149,NA,3.737,102.759,3.211724398,3.207751913,7.523920172,7.390801278,1.021874624,117.1921982,3.20867437
4/25/2017,113.5106738,164.1760995,1.7137E+12,1.65356E+12,-0.002942123,11.136,NA,3.737,102.442,3.24987467,3.246209946,7.504233037,7.371730301,1.01903068,115.8024236,3.246959595
4/26/2017,113.6582156,164.4059395,1.7161E+12,1.65356E+12,0.001399961,11.116,NA,3.737,102.577,3.230761696,3.227064373,7.496822324,7.363950441,1.01632915,115.5579205,3.22776406
4/27/2017,113.7690234,164.5826654,1.71794E+12,1.65356E+12,0.001074936,11.121,NA,3.737,102.678,3.215184911,3.211322412,7.501883894,7.367100249,1.017762107,115.4018067,3.212183446
4/28/2017,113.8920738,164.8100039,1.72032E+12,1.65356E+12,0.001381303,11.117,NA,3.737,102.791,3.204742115,3.200665158,7.507648509,7.372717793,1.017544905,114.8954672,3.201582044
5/1/2017,113.4998171,164.2586985,1.70378E+12,1.64857E+12,-0.003345097,11.188,NA,3.703,102.377,3.250837146,3.247047462,7.542026534,7.404460122,1.021644028,115.2284129,3.247786515
5/2/2017,113.7779018,164.6774653,1.70812E+12,1.64857E+12,0.002549435,11.154,NA,3.703,102.631,3.219531074,3.215139461,7.533866084,7.395443013,1.020016362,114.9783284,3.216327063
5/3/2017,113.7806874,164.6978153,1.70833E+12,1.64857E+12,0.000123575,11.169,NA,3.703,102.633,3.232435832,3.228487127,7.539572384,7.407198537,1.025136589,114.7217935,3.229291218
5/4/2017,113.4682674,164.2619335,1.70381E+12,1.64857E+12,-0.002646555,11.182,NA,3.703,102.349,3.265779322,3.261942182,7.534012258,7.40164039,1.024405342,114.1745629,3.262723469
5/5/2017,113.4897458,164.3093736,1.7043E+12,1.64857E+12,0.000288808,11.161,NA,3.703,102.368,3.26340729,3.25956802,7.523243636,7.392558631,1.021419676,114.2754866,3.260310083
5/8/2017,113.3804717,164.2002084,1.70317E+12,1.64857E+12,-0.000664388,11.157,NA,3.703,102.269,3.273504389,3.269913508,7.518566924,7.387552832,1.020841846,113.2530855,3.2704818
5/9/2017,113.2116935,163.9721269,1.70081E+12,1.64857E+12,-0.001389045,11.146,NA,3.703,102.115,3.295342498,3.291921662,7.507173728,7.377475104,1.019546205,112.5094465,3.292399368
5/10/2017,113.2668954,164.0684265,1.70181E+12,1.64857E+12,0.000587292,11.139,NA,3.703,102.165,3.288574798,3.28526486,7.512122296,7.381935669,1.019195581,111.7194052,3.285575735
5/11/2017,113.4166681,164.3017211,1.70423E+12,1.64857E+12,0.001421935,11.14,NA,3.703,102.302,3.270051247,3.266361882,7.51678328,7.385320917,1.02115343,111.0224551,3.266990649
5/12/2017,113.8807602,164.9903778,1.71137E+12,1.64857E+12,0.004191415,11.145,NA,3.703,102.725,3.215065226,3.210595694,7.532965493,7.397841089,1.023664737,111.6446215,3.211688418
5/15/2017,113.8848686,165.0453708,1.71194E+12,1.64857E+12,0.000333311,11.159,NA,3.703,102.728,3.213742616,3.20919329,7.541951973,7.404711591,1.0267944,110.8438787,3.210426101
5/16/2017,114.0611627,165.3172085,1.71476E+12,1.64857E+12,0.001647048,11.15,NA,3.703,102.889,3.196489173,3.19195309,7.543190432,7.407027239,1.025645969,109.9984118,3.19309749
5/17/2017,114.7952629,166.3975408,1.72596E+12,1.64857E+12,0.006534905,11.161,NA,3.703,103.559,3.117616349,3.112373552,7.567938246,7.428685198,1.031539491,111.375139,3.113928341
5/18/2017,114.6140325,166.1511914,1.72341E+12,1.64857E+12,-0.001480487,11.198,NA,3.703,103.393,3.142712513,3.13784059,7.580768258,7.443125534,1.035331861,111.8436017,3.139120632
5/19/2017,114.6004616,166.1478651,1.72337E+12,1.64857E+12,-2.00199E-05,11.186,NA,3.703,103.381,3.148511673,3.143836515,7.574707136,7.438910801,1.034525973,111.3717517,3.144940177
5/22/2017,114.5276586,166.0913562,1.72279E+12,1.64857E+12,-0.000340112,11.182,NA,3.703,103.314,3.156176241,3.151093786,7.571682014,7.43500904,1.036374999,111.5549631,3.152516274
